212,160,132
213,163,127
176,88,228
178,90,227
176,88,228
178,90,227
157,70,240
160,73,239
157,70,240
160,73,239
100,44,215
111,49,220
100,44,215
111,49,220
54,23,194
61,27,198
54,23,194
61,27,198
29,13,183
36,16,186
29,13,183
36,16,186
12,5,175
18,8,178
12,5,175
18,8,178
3,1,170
7,3,172
3,1,170
7,3,172
0,0,169
2,1,170
0,0,169
2,1,170
5,2,171
4,2,171
5,2,171
4,2,171
17,7,177
13,6,175
17,7,177
13,6,175
36,16,186
28,12,182
36,16,186
28,12,182
64,28,199
50,21,192
64,28,199
50,21,192
117,52,223
88,39,210
117,52,223
88,39,210
163,75,237
144,64,235
163,75,237
144,64,235
184,99,217
170,82,232
184,99,217
170,82,232
225,188,93
197,127,178
225,188,93
197,127,178
254,252,4
233,207,67
254,252,4
233,207,67
255,163,0
255,238,0
255,163,0
255,238,0
254,31,0
255,134,0
254,31,0
255,134,0
232,9,0
253,27,0
232,9,0
253,27,0
202,0,0
228,8,0
213,163,127
216,170,118
178,90,227
180,92,225
178,90,227
180,92,225
160,73,239
163,75,237
160,73,239
163,75,237
111,49,220
123,54,226
111,49,220
123,54,226
61,27,198
74,32,203
61,27,198
74,32,203
36,16,186
44,19,189
36,16,186
44,19,189
18,8,178
25,11,181
18,8,178
25,11,181
7,3,172
12,5,175
7,3,172
12,5,175
2,1,170
5,2,171
2,1,170
5,2,171
4,2,171
4,2,171
4,2,171
4,2,171
13,6,175
10,4,173
13,6,175
10,4,173
28,12,182
21,9,179
28,12,182
21,9,179
50,21,192
39,17,187
50,21,192
39,17,187
88,39,210
63,27,198
88,39,210
63,27,198
144,64,235
110,49,220
144,64,235
110,49,220
170,82,232
159,72,239
170,82,232
159,72,239
197,127,178
176,88,228
197,127,178
176,88,228
233,207,67
207,150,146
233,207,67
207,150,146
255,238,0
239,220,48
255,238,0
239,220,48
255,134,0
255,222,0
255,134,0
255,222,0
253,27,0
255,113,0
253,27,0
255,113,0
228,8,0
252,24,0
216,170,118
221,179,105
180,92,225
185,102,213
180,92,225
185,102,213
163,75,237
166,78,235
163,75,237
166,78,235
123,54,226
136,60,232
123,54,226
136,60,232
74,32,203
87,38,209
74,32,203
87,38,209
44,19,189
51,22,193
44,19,189
51,22,193
25,11,181
31,14,184
25,11,181
31,14,184
12,5,175
17,7,177
12,5,175
17,7,177
5,2,171
8,4,173
5,2,171
8,4,173
4,2,171
5,2,171
4,2,171
5,2,171
10,4,173
8,3,173
10,4,173
8,3,173
21,9,179
16,7,176
21,9,179
16,7,176
39,17,187
29,13,183
39,17,187
29,13,183
63,27,198
49,21,192
63,27,198
49,21,192
110,49,220
81,36,207
110,49,220
81,36,207
159,72,239
130,57,229
159,72,239
130,57,229
176,88,228
164,77,236
176,88,228
164,77,236
207,150,146
181,93,225
207,150,146
181,93,225
239,220,48
216,170,119
239,220,48
216,170,119
255,222,0
244,231,33
255,222,0
244,231,33
255,113,0
255,209,0
255,113,0
255,209,0
252,24,0
255,97,0
221,179,105
226,191,89
185,102,213
191,115,195
185,102,213
191,115,195
166,78,235
169,82,232
166,78,235
169,82,232
136,60,232
150,66,238
136,60,232
150,66,238
87,38,209
100,44,215
87,38,209
100,44,215
51,22,193
